object_id,object_name,geometry_type,ancient_layer,period,evidence_type,evidence_grade,modern_anchor,ancient_position,metric_info,source,gis_method,status
GIS-P020,大内西墙4号发掘点,点,大内西墙,隋唐,发掘,A,洛阳市第三中学,大内西墙南段；近崇庆门,图5-64编号4；与崇庆门GT245有关,第422页；图5-64；GT245,与崇庆门控制点合并核验,可入库
GIS-P021,大内西墙5号发掘点,点,大内西墙,隋唐,发掘,A,洛阳玻璃集团家属区,大内西墙中南段,南距宫城南墙约270米；早期西墙东西宽约4.55米；晚期残宽约1.35米,第422-423页；图5-69；GT828,现代小区+距南墙距离定位,可入库
GIS-P022,大内西墙6号发掘点,点,大内西墙,隋唐,发掘,A,洛阳玻璃集团商务大楼,大内西墙中段,南距宫城南墙约468米；唐代墙基宽约4.5米；墙身残宽约3.7米,第423-424页；图5-70；GT815,现代建筑+距南墙距离定位,可入库
GIS-P023,大内西墙7号发掘点,点,大内西墙,隋唐,发掘,A/B,洛阳玻璃集团浮法一线,大内西墙线,图5-64编号7,第422页；图5-64；GT673、GT675,现代厂区+图5-64配准,可入库
GIS-P024,大内西墙8号发掘点,点,大内西墙,隋唐,发掘,A/B,洛阳玻璃集团仓储区,大内西墙线,图5-64编号8,第422页；图5-64；BT205,现代厂区+图5-64配准,可入库
GIS-B001,大内东墙GT357唐代早期基址,点/面,大内东墙内侧建筑基址,唐代早期,发掘,A/B,洛阳市起重机厂,位于大内东墙西侧；东边与城墙平行,发掘南北长约2米；东西残宽约2.5米,第421页；图5-68；GT357,作为墙内建筑点位；不优先参与城墙配准,可入库
GIS-G001,应天门,点/面,宫城南墙/中轴线,隋唐；五代北宋,发掘+钻探,A,周公庙西侧；原洛阳市委党校东南；中州渠之北；定鼎南路穿过门址中部,大内南墙正中/宫城正门,南侧夯土宽约17.5米；两侧间距约83米,第376-381页；图5-29至图5-35；GT851等,第一控制点；配准图5-30,可入库
GIS-G002,应天门朵楼/阙楼区,面/构件,应天门建筑群,隋唐至北宋,发掘,A,定鼎南路两侧,南墙外侧加宽处,西飞廊南北约37米；东飞廊南北约33.5米,第377-381页；图5-31至图5-35,应天门局部详图数字化,待细化
GIS-G003,崇庆门,点/面,大内西墙南端,唐,发掘,A,洛阳市第三中学操场南部,大内西墙南端；坐东朝西,南距大内西南角约36米；与宣政门东西相对,第401-405页；图5-50至图5-52；GT245,现代学校+图5-50定位,可入库
GIS-G004,宣政门,点/面,大内东墙南端,唐,发掘,A,洛阳市老城区豫通街小学附近,大内东墙南端；坐西朝东,与崇庆门东西相对,第405-410页；图5-53至图5-58；GT819,现代学校+图5-53定位,可入库
GIS-G005,明德门,点,宫城南墙偏东,唐；隋称兴教门,钻探,B,洛阳市老城区五贤街6号居民院内,宫城南墙偏东城门,东距大内东南角约220米；西距应天门约300米,第411页,现代地名+相对距离定位,可入库
GIS-G006,长乐门,点,宫城南墙偏西,唐；隋称光政门,钻探+局部发掘,B,洛阳市西工区长乐街小学内,宫城南墙偏西城门,西距大内西南角约210米；东距应天门约300米,第412-413页；图5-59；图5-60,与明德门对称约束；图5-59定位,可入库
GIS-G007,玄武门,点,大内北墙,隋唐,钻探,B,洛阳市唐宫路煤厂后院车库下,大内北墙正中,东距大内东墙约525米,第414页,现代地名+相对距离定位,可入库
GIS-G008,圆璧南门,点,圆璧城南墙,隋唐,钻探/发掘线索,B,原小五金厂南边一带,圆璧城南墙中部,南对应天门；北对龙光门,第414-415页；图5-61,图5-61配准；和南北轴线约束,可入库
GIS-G009,龙光门,点,宫城北墙,唐,钻探,B,西工区烧沟村东南,宫城北墙正中,距城西北角约1050米,第414-416页；图5-62,现代地名+宫城北墙线定位,可入库
GIS-G010,圆璧门,点,圆璧城东墙,唐,钻探,B,铁路分局电务段修配所院内,圆璧城与含嘉仓城之间通道,门外路土宽约10米,第414-416页；图5-63,图5-63配准,可入库
GIS-G011,嘉豫门,点,宫城西墙,唐；隋称宝城门,考查,B/C,洛玻集团厂区西北部,宫城西墙,距宫城西北角约670米,第416页,先做弱化点；待图5-29配准,待复核
GIS-G012,洛城西门,点,宫城西墙,唐,钻探,B,洛阳市第二实验中学院内,宫城西墙,距宫城南墙角约80米,第417页,现代地名+相对距离定位,可入库
GIS-R001,宫城大内街道发掘位置总图,图件/点组,大内街道系统,唐至宋,图件+文字,A/B,图中标出唐宫东路、中州中路、定鼎北路及明堂遗址,大内内部路土遗迹1-14号位置,图中比例尺0-200米；报告说明路土零散，不能完整复原大内街道布局,第426-427页；图5-73,作为大内街道路土的索引图和配准辅助图,可入库
GIS-R002,明德门内大街1号发掘点,线段/点,明德门内大街,唐；宋,发掘,A,洛阳市汽车修配件厂,明德门内南北向街道；图5-73编号1,南距大内南墙46米；东距大内东墙208米；唐代路土南北向；发掘东西长36米、南北宽4米,第427-428页；图5-73；图5-74；GT755,现代厂址+相对距离定位；唐代路土画短线段,可入库
GIS-R003,明德门内大街2号发掘点,线段/点,明德门内大街,唐；宋,发掘,A,洛阳市第一汽车运输公司院内,明德门内南北向街道；图5-73编号2,南距大内南墙300米；东距大内东墙210米；唐代路土南北长40米、东西宽18.1米；宋代路土东西宽24.5米,第428页；图5-73；图5-75至图5-77；GT731、GT733、GT734,现代单位+相对距离定位；可分唐/宋两层记录,可入库
GIS-R004,明德门内大街3号发掘点,线段/点,明德门内大街,唐,发掘,A,洛阳市汽车修配厂院内,明德门内南北向街道；图5-73编号3,南距大内南墙78米；东距大内东墙183米；唐代路土南北长7米、东西宽7米；路面有4条车辙,第429页；图5-73；图5-78；GT759,现代厂址+相对距离定位；车辙可作为细节属性,可入库
GIS-R005,一号路土,短线/点,大内其他路土,唐,发掘,B,西工区实验小学院内,图5-73编号4-6,路土东西向；分早晚两期；GT636-GT638,第429页；表4；图5-73,先按点组入库；方向明确后画东西向短线,可入库
GIS-R006,二号路土,点/短线,大内其他路土,唐,发掘,B/C,洛玻集团浮法一线,图5-73编号7,走向不明；发掘东西长2米、南北宽8米、厚约10厘米,第429页；表4；GT687,只画发掘点；不外推街道,可入库
GIS-R007,三号路土,点/短线,大内其他路土,唐,发掘,B/C,洛玻集团氮气站,图5-73编号8,走向不明；可分早晚两期；早期东西残长15米、南北残宽6.3-11米,第429页；表4；GT56-GT177,只画发掘点/短线；不外推街道,可入库
GIS-R008,四号路土,点/短线,大内其他路土,唐,发掘,B/C,市建筑机械厂北院,图5-73编号9,走向不明；分早晚两期；发掘南北长约10米，早期东西残宽5-6.7米，晚期东西宽3.5-5.5米,第430页；表4；GT138、GT139,只画发掘点/范围框,可入库
GIS-R009,五号路土,点/短线,大内其他路土,唐,发掘,B/C,市建筑机械厂南院,图5-73编号10,走向不明；发掘南北长10米；东西宽6.3-7米；厚20-40厘米,第430页；表4；GT195,只画发掘点/范围框,可入库
GIS-R010,六号路土,点/短线,大内其他路土,唐,发掘,B/C,市唐宫路煤厂院内,图5-73编号11,走向不明；发掘南北长8米；东西残宽1.5-3.8米；厚15厘米,第430页；表4；GT221,只画发掘点/范围框,可入库
GIS-R011,七号路土,短线/点,大内其他路土,唐；五代至北宋,发掘,B,市建筑机械厂家属院,图5-73编号12,路土东西向；分早晚两期；早期为唐代，晚期为五代北宋时期,第430页；表4；GT446,按东西向短线入库；分期属性保留,可入库
GIS-R012,八号路土,点/短线,大内其他路土,唐,发掘,B/C,市建筑机械厂家属院,图5-73编号13,走向不明；分早晚两期；早期东西长3米、南北残宽7.2米，晚期东西最长6.5米、南北宽2.4米,第430页；表4；GT312、GT313,只画发掘点/范围框,可入库
GIS-R013,九号路土,短线/点,大内其他路土,唐,发掘,B,洛玻16-18号住宅楼,图5-73编号14,路土南北向；发掘南北长10米、东西宽1.2-2.5米；路面清理出一条车辙,第430页；表4；GT641,按南北向短线入库；车辙作为细节属性,可入库
GIS-X001,宫城大内中区主要遗迹位置示意图,图件/索引,大内中区,隋唐至北宋,图件+文字,B,图中标出应天门、长乐门、明德门、崇庆门、宣政门、玄武门,大内中区轴线建筑、乾元门、永泰门、明堂、东廊、西廊、陶光园南廊,示意大内中区南北轴线与东西廊格局,第446-447页；图5-89,作为轴线叙事总图；不直接作为精确边界,可入库
GIS-X002,宫城大内中区轴线建筑钻探遗迹分布图,图件/点组,大内中区轴线建筑,隋唐；北宋,钻探+图件,A/B,图中有比例尺0-50米,大内中区轴线建筑基址组,隋唐时期基址6处；北宋时期基址8处,第448-449页；图5-90,作为轴线建筑点/面数字化底图,可入库
GIS-X003,隋唐一号基址,面/线段,大内中区轴线建筑,隋唐,钻探,A/B,洛阳国安建筑集团院内,应天门北约234米,基址东西向，方向约92度；探出东西长约160米、南北宽约36米；疑为乾元门及乾元门步廊基址,第448页；图5-90,按长条面入库；并与乾元门步廊合并核验,可入库
GIS-X004,隋唐二号基址,面,大内中区轴线建筑,隋唐,钻探,B,洛阳市公交公司和洛阳市印刷厂院内,隋唐一号基址北约135米,南北长约40米；东西残宽约39米,第448页；图5-90,图5-90配准后画范围面,可入库
GIS-X005,隋唐三号基址,面,大内中区轴线建筑,隋唐,钻探,B,洛阳市印刷厂院北部,隋唐二号基址北约16米,东西长约102.5米；南北残宽42-47米；北边中部外凸约5米,第448页；图5-90,图5-90配准后画范围面,可入库
GIS-X006,隋唐四号基址,面组,大内中区轴线建筑,隋唐,钻探,B,洛阳市唐宫路煤厂院内,隋唐三号基址东北,由四排东西向长方形基址和两端东西廊房组成；北基址东西宽约80.5米、南北长约89米,第448-449页；图5-90,先画组合范围；后续拆分子基址,可入库
GIS-X007,隋唐五号基址,面,大内中区轴线建筑,隋唐,钻探,B,洛阳市纺织品联合仓库院内,隋唐四号基址约14.5米处,凸字形；东西长约50米；南北中部最宽约30.8米,第449页；图5-90,图5-90配准后画范围面,可入库
GIS-X008,隋唐六号基址,面,大内中区轴线建筑,隋唐,钻探,B,洛阳市纺织品联合仓库院内,隋唐三号基址西北；与隋唐五号基址东西对称,东西长约47米；南北宽约29米,第449页；图5-90,图5-90配准后画范围面,可入库
GIS-X009,大内东廊,线/面,大内中区东界廊庑,唐；宋,发掘,A,洛阳建筑机械厂南院；定鼎路附近,应天门东西两侧；东廊南北向，南接大内南墙，北抵宫城正殿东侧北面,东西廊东西相距约200米；GT716距大内南墙140米、距大内东墙420米；GT194距大内南墙180米、距大内东墙400米,第451-453页；图5-91至图5-93；GT716、GT194、GT195,按南北向廊线/廊基入库；水渠另列,可入库
GIS-X010,大内西廊,线/面,大内中区西界廊庑,唐,发掘,A,中州中路与定鼎南路交叉路口,应天门东西两侧；西廊南北向，南接大内南墙，北抵宫城正殿西侧北面,GT854A等南距大内南墙228米、东距大内东墙620米；西廊分唐代早期、中期、晚期三期,第454-457页；图5-94至图5-98；GT854A、GT854B、GT854AG1、GT854AG2、GT922,按南北向廊线/廊基入库；分期属性保留,可入库
GIS-X011,永泰门步廊,线/面,大内中区南部横向步廊,唐,发掘,A,定鼎南路和周公路交叉路口,东起大内东廊；西抵大内西廊；南距应天门约110米,GT852、GT853；东距大内东墙约580-590米；南距大内南墙约93-113米；唐代早期与晚期沿用,第473-475页；图5-91、图5-111、图5-112；GT852、GT853,画东西向线/面；连接东西廊,可入库
GIS-X012,永泰门南侧水渠,线,大内中区南部水渠,唐,发掘,A,定鼎南路西侧；应天门内,位于永泰门步廊南侧；东西向,南距应天门约86米；北距永泰门步廊约24米；GT853南距大内南墙93米、东距大内东墙590米,第474-475页；图5-111、图5-112；GT853,作为水系/排水设施单独入库,可入库
GIS-X013,乾元门,点/面,大内中区中轴线门址,隋唐,发掘+图件,A,洛阳市国安建设集团门附近,宫城正殿所在宫院南面正门；位于宫城轴线上，南对应天门，北直宫城正殿明堂,南距应天门234米；北距明堂210米；南距大内南墙234米；东距大内东墙512米；GT347-GT353,第476页；图5-113；GT347-GT353,中轴线核心控制点；优先配准,可入库
GIS-X014,明堂,点/面,大内中区中轴线正殿,唐,发掘+图件,A,定鼎北路与中州路交叉口东北,位于宫城大内居中位置；处在宫城轴线上,南距应天门445米；南距大内南墙445米；东距大内东墙510米；GT264-GT279,第479页；图5-89、图5-90；GT264-GT279,中轴线核心控制点；优先配准,可入库
GIS-DOC001,东隔城范围,面,宫城东侧隔城,隋唐,整理摘录,B/C,老城区公安分局；百业大市场；五金工具厂；坛角小学；唐宫东路住宅小区；洛阳机电公司；中州路南沿,大内东侧隔城区域,南北约970米,20260707 考古报告.doc,作为第3册补充线索；需回查页码、图号和边界,待回查
GIS-DOC002,东隔城东墙,线/点组,东隔城城墙,隋唐,整理摘录,B,老城区公安分局；百业大市场；五金工具厂；坛角小学；唐宫东路住宅小区；洛阳机电公司院内；中州路南沿,东隔城东界,7次发掘；南北约970米,20260707 考古报告.doc,按发掘点组约束墙线；需回查原报告,待回查
GIS-DOC003,东隔城北墙,线/点,东隔城城墙,隋唐,整理摘录,B/C,铸造厂内,东隔城北界,1次发掘,20260707 考古报告.doc,先作线索点；需回查图件,待回查
GIS-DOC004,安宁门,点/面,东隔城城门,隋唐,整理摘录,B/C,铸造厂院内,东隔城门址,发掘线索,20260707 考古报告.doc,先作城门点；需回查门址平面,待回查
GIS-DOC005,东隔城一号街道,线/点组,东隔城街道,隋唐,整理摘录,B,百业大市场院内；坛角小学院内；唐宫东路商住楼下,东隔城内部街道,1条街道,20260707 考古报告.doc,按点组入库；需回查走向和宽度,待回查
GIS-DOC006,东隔城一号隔墙,线/点组,东隔城隔墙,隋唐,整理摘录,B,老城区；第二木工厂；百业大市场；五金工具厂；第二运输公司；坛角小学；唐宫东路住宅小区；中州路南沿,东隔城内部隔墙,宽约2.75-3.1米；多次发掘,20260707 考古报告.doc,可作为内部空间分隔线索；需回查原报告,待回查
GIS-DOC007,东隔城二号隔墙,线/点,东隔城隔墙,隋唐,整理摘录,B/C,房管局西关马路街住宅区院内,东隔城内部隔墙,1道隔墙,20260707 考古报告.doc,先作线索点；需回查走向,待回查
GIS-DOC008,东隔城基址组,点/面组,东隔城建筑基址,隋唐,整理摘录,B/C,运输公司儿童医院内；老城区房管局西关马路街住宅区院内,东隔城内部基址,3座基址；一号、二号在运输公司儿童医院内，三号在房管局西关马路街住宅区院内,20260707 考古报告.doc,按基址组入库；需拆分子对象,待回查
GIS-DOC009,东隔城水渠组,线/点组,东隔城水渠,隋唐,整理摘录,B/C,老城区西关粮点院内；洛阳市运输公司儿童医院内,东隔城内部水渠,2道水渠,20260707 考古报告.doc,作为水系补充线索；需回查走向和宽度,待回查
GIS-DOC010,东夹城范围,面,宫城东侧夹城,隋唐,整理摘录,B/C,老城区公安分局；第二运输公司；黄金房地产开发公司商品住宅小区,大内东侧夹城,南北长约970米；东西宽约180米；四面皆有城墙,20260707 考古报告.doc,补宫城东侧外围结构；需回查边界,待回查
GIS-DOC011,东夹城一号街道,线/点组,东夹城街道,隋唐,整理摘录,B/C,老城区公安分局；第二运输公司院内,东夹城内部街道,2个发掘点,20260707 考古报告.doc,按点组入库；需回查走向,待回查
GIS-DOC012,东夹城二号街道,线/点,东夹城街道,隋唐,整理摘录,B/C,黄金房地产开发公司商品住宅小区院内,东夹城内部街道,街道线索,20260707 考古报告.doc,先作线索点；需回查原报告,待回查
GIS-DOC013,东夹城隔墙组,线/点组,东夹城隔墙,隋唐,整理摘录,B/C,洛阳市铸造厂院内；黄金房地产开发公司商品住宅小区院内,东夹城内部隔墙,2道隔墙,20260707 考古报告.doc,按隔墙点组入库；需回查走向,待回查
GIS-DOC014,东夹城基址,点/面,东夹城建筑基址,隋唐,整理摘录,B/C,二号隔墙东侧,东夹城内部基址,基址线索,20260707 考古报告.doc,需回查具体位置和尺寸,待回查
GIS-DOC015,西隔城范围,面,宫城西侧隔城,隋唐,整理摘录,B/C,洛玻集团唐二小区；洛阳玻璃集团宾馆；浮法一线；浮法二线；铁路支线；高压炉房,大内西侧隔城,南北约970米,20260707 考古报告.doc,补宫城西侧外围结构；需回查边界,待回查
GIS-DOC016,西隔城西墙,线/点组,西隔城城墙,隋唐,整理摘录,B,洛玻集团唐二小区东南隅；道南路南侧；洛阳玻璃集团宾馆；浮法一线；浮法二线；铁路支线；高压炉房及其北侧院内,西隔城西界,6次发掘；全长约970米；南起洛玻集团唐二小区东南隅，北抵道南路南侧,20260707 考古报告.doc,按发掘点组约束墙线；需回查原报告,待回查
GIS-DOC017,西隔城东墙,线/点,西隔城城墙,隋唐,整理摘录,B/C,洛阳玻璃集团厂区内,西隔城东界,墙线线索,20260707 考古报告.doc,先作线索线；需回查图件,待回查
GIS-DOC018,西隔城街道,线/点组,西隔城街道,隋唐,整理摘录,B/C,洛阳玻璃集团铁路专线；洛阳玻璃集团二线成品库；洛阳玻璃集团厂区北部,西隔城内部街道,3次发掘,20260707 考古报告.doc,按点组入库；需回查走向和宽度,待回查
GIS-DOC019,西隔城隔墙组,线/点组,西隔城隔墙,隋唐,整理摘录,B/C,洛阳玻璃集团厂区北部；洛阳玻璃集团二线成品库,西隔城内部隔墙,2道隔墙线索,20260707 考古报告.doc,需回查具体走向,待回查
GIS-DOC020,西隔城基址组,点/面组,西隔城建筑基址,隋唐,整理摘录,B/C,洛阳玻璃集团唐二住宅小区；洛阳玻璃集团浮法二线东北隅；洛阳玻璃集团高压锅房附近；洛阳玻璃集团厂区内,西隔城内部基址,5座基址,20260707 考古报告.doc,按基址组入库；后续拆分子对象,待回查
GIS-DOC021,九洲池遗址范围,面,宫城西隔城宫苑水系,唐宋,整理摘录,B/C,洛阳玻璃集团厂区西北隅,宫城西隔城中北部,当前考古资料不能准确界定范围,20260707 考古报告.doc,作为九洲池弱范围；需回查第3册九洲池章节,待回查
GIS-DOC022,九洲池水道组,线/点组,九洲池水系,唐宋,整理摘录,B/C,洛阳玻璃集团厂区东北部；洛阳玻璃集团浮法三线成品库；洛阳玻璃集团浮法一线；洛阳玻璃集团厂区北部,九洲池内部水道,7条水道,20260707 考古报告.doc,作为宫苑水系重点线索；需拆分一至七号水道,待回查
GIS-DOC023,九洲池池岸,线/面,九洲池池岸,唐宋,整理摘录,B/C,洛阳玻璃厂平板车间成品库西部,九洲池池岸,池岸线索,20260707 考古报告.doc,需回查池岸形态和范围,待回查
GIS-DOC024,九洲池岛屿组,面组,九洲池岛屿,唐宋,整理摘录,C,暂无明确现代锚点,九洲池内部岛屿,6座岛屿线索,20260707 考古报告.doc,暂不落精确面；待回查,待回查
GIS-DOC025,九洲池基址组,点/面组,九洲池建筑基址,唐宋,整理摘录,B/C,洛阳玻璃集团浮法三线北侧；浮法三线成品库；浮法三线；洛阳玻璃集团厂区北部,九洲池及其周边基址,8座基址；1-3号在池内岛屿，4号南侧，5号西南侧，6-8号东侧,20260707 考古报告.doc,按基址组入库；后续拆分,待回查
GIS-DOC026,九洲池南侧引水渠组,线/点组,九洲池南侧水系,唐宋,整理摘录,B/C,洛阳玻璃集团浮法一线范围内；唐宫中路北侧洛阳玻璃集团浮法一线车间,九洲池南侧区,2条引水渠,20260707 考古报告.doc,作为水系线索；需回查走向,待回查
GIS-DOC027,九洲池南侧池岸,线/面,九洲池南侧池岸,唐宋,整理摘录,B/C,唐宫中路以南；原洛阳玻璃集团灯光球场位置,九洲池南侧区,池岸线索,20260707 考古报告.doc,需回查边界,待回查
GIS-DOC028,九洲池南侧岛屿组,面组,九洲池南侧岛屿,唐宋,整理摘录,C,唐宫中路以北原洛阳玻璃集团浮法一线西部；唐宫中路以南原洛阳玻璃集团灯光球场位置,九洲池南侧区,2个岛屿；范围尚未确定,20260707 考古报告.doc,暂作弱证据，不画精确边界,待回查
GIS-DOC029,九洲池南侧基址,点/面,九洲池南侧建筑基址,唐宋,整理摘录,B/C,唐宫中路以南；原洛阳玻璃集团灯光球场位置,九洲池南侧区,1座基址,20260707 考古报告.doc,先作点位线索；需回查尺寸,待回查
