evidence_id,key,name,source_object_id,source_object_name,source,evidence_type,evidence_grade,geometry_type_raw,modern_anchor,ancient_position,metric_info,gis_method,source_status
EVID_027,yingtian,应天门,GIS-G001,应天门,第376-381页；图5-29至图5-35；GT851等,发掘+钻探,A,点/面,周公庙西侧；原洛阳市委党校东南；中州渠之北；定鼎南路穿过门址中部,大内南墙正中/宫城正门,南侧夯土宽约17.5米；两侧间距约83米,第一控制点；配准图5-30,可入库
EVID_028,yingtian,应天门,GIS-G002,应天门朵楼/阙楼区,第377-381页；图5-31至图5-35,发掘,A,面/构件,定鼎南路两侧,南墙外侧加宽处,西飞廊南北约37米；东飞廊南北约33.5米,应天门局部详图数字化,待细化
EVID_029,xuanwu,玄武门,GIS-G007,玄武门,第414页,钻探,B,点,洛阳市唐宫路煤厂后院车库下,大内北墙正中,东距大内东墙约525米,现代地名+相对距离定位,可入库
EVID_030,xuanwu,玄武门,GIS-DOC043,玄武门补充线索,20260707 考古报告.doc,整理摘录,B,点/面,洛阳起重机厂北侧/煤厂北侧,宫城轴线上的重要坐标,玄武城南墙门址缺口宽约7.1米,与GIS-G007互证；需回查精确图件,待回查
EVID_031,qianyuan,乾元门,GIS-X013,乾元门,第476页；图5-113；GT347-GT353,发掘+图件,A,点/面,洛阳市国安建设集团门附近,宫城正殿所在宫院南面正门；位于宫城轴线上，南对应天门，北直宫城正殿明堂,南距应天门234米；北距明堂210米；南距大内南墙234米；东距大内东墙512米；GT347-GT353,中轴线核心控制点；优先配准,可入库
EVID_032,mingtang,明堂,GIS-X014,明堂,第479页；图5-89、图5-90；GT264-GT279,发掘+图件,A,点/面,定鼎北路与中州路交叉口东北,位于宫城大内居中位置；处在宫城轴线上,南距应天门445米；南距大内南墙445米；东距大内东墙510米；GT264-GT279,中轴线核心控制点；优先配准,可入库
EVID_033,tiantang,天堂,MISSING_IN_2_0_TABLE,2.0总表暂无独立记录,需补充明堂天堂专题发掘/保护展示资料,待补充,待补充,point_area,,,,暂用中轴序列位置作为原型锚点,待补充
EVID_034,yongtai_bulang,永泰门步廊,GIS-X011,永泰门步廊,第473-475页；图5-91、图5-111、图5-112；GT852、GT853,发掘,A,线/面,定鼎南路和周公路交叉路口,东起大内东廊；西抵大内西廊；南距应天门约110米,GT852、GT853；东距大内东墙约580-590米；南距大内南墙约93-113米；唐代早期与晚期沿用,画东西向线/面；连接东西廊,可入库
EVID_035,jiuzhou,九洲池,GIS-DOC021,九洲池遗址范围,20260707 考古报告.doc,整理摘录,B/C,面,洛阳玻璃集团厂区西北隅,宫城西隔城中北部,当前考古资料不能准确界定范围,作为九洲池弱范围；需回查第3册九洲池章节,待回查
EVID_036,jiuzhou,九洲池,GIS-DOC061,九洲池水系核心关系,第3册第八章第二节 p968,第三册结语核补,B/C,线组/面,九洲池及宫城皇城水渠,九洲池与宫城皇城水系,九洲池为宫城和皇城水系核心；支渠连接谷水与九洲池；谷水入池沉淀后流向宫城和皇城各池沼,解释DOC021-DOC030与宫城皇城水系的关系；需回查支渠图件,待回查
EVID_037,jiuzhou,九洲池,GIS-DOC075,九洲池遗址范围与1960钻探洑土区,第3册第六章第三节 p766 图6-65,第三册原报告核补,B,面,洛阳玻璃集团厂区西北隅；宫城西隔城中北部,九洲池池体及洑土范围,遗址位于宫城西隔城中北部；1960年钻探确认宫城西北角大面积洑土；西距西墙5米；北距大内北墙148米；洑土呈斜置L形；东西280米；南北最宽260米；总面积约55600平方米,作为九洲池范围主面层；需与图6-64和现代底图配准,待配准
EVID_038,jiuzhou,九洲池,GIS-DOC076,九洲池1982-1986钻探轮廓与引水渠,第3册第六章第三节 p769 图6-64,第三册原报告核补,B,面/线,宫城西北部；玄武城南250米处；西隔城北部,九洲池轮廓与东、西两支引水渠,1982-1986年初步搞清九洲池轮廓；遗址位于宫城西北部玄武城南250米处；东西长约205米；南北宽约130米；池北东西两侧各有宽约5米渠道向北延伸至玄武城南墙附近后内折；引水渠钻探南北长约250米东西宽3-5米,补九洲池与玄武城南侧水系关系；可作为水系线层和池体范围校准依据,待配准
EVID_039,jiuzhou,九洲池,GIS-DOC077,九洲池池内岛屿组,第3册第六章第三节 p769-p770 图6-64,第三册原报告核补,B,点组/面组,九洲池现有范围内；宫城西隔城中北部,九洲池I至VI号岛屿,钻探出六座岛屿；I号在九洲池东北隅东西40米南北25-30米；II号在I号西南部东西38米南北23-30米；III号在九洲池东南隅东西51米南北12-26米；IV号在西北隅东西34米南北27米；V号在IV号之南东西32米南北16-25米；VI号在西南隅东西46米南北13-45米,可转为六个岛屿面或中心点；用于九洲池园林空间复原,待矢量化
EVID_040,jiuzhou,九洲池,GIS-DOC078,九洲池水道与南侧建筑基址关系,第3册第六章第三节 p770-p771 图6-64 图6-70,第三册原报告核补,B,线组/点组,洛阳玻璃集团厂区东南部和浮法三线成品库；大内西墙与西隔城东墙之间,九洲池七条水道及四号基址周边,发掘发现唐代水道七条；一号位于九洲池东南；二三号在唐代四号基址建筑之间；四号在四号基址南侧；五号在五号基址东端；六号在七号基址西南；七号在七号基址东；一号水道GT365东距大内西墙40米南距大内南墙560米；二号水道GT505 GT506东距西隔城东墙180米南距西隔城南墙560米；三号水道GT504 GT505同距西隔城东墙180米南距西隔城南墙560米,可作为九洲池内部水道线层；优先画一至三号水道并标注其与四号基址关系,待矢量化
